"Geography Type","Geography Name","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness"
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Anus",1,4,5,0,0,0,0,6,62.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Bladder",69,50,10,15,0,0,161,41,41.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Bowel",94,153,139,137,0,0,2,113,82
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Breast",343,300,68,17,0,0,0,147,83.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Cervix",11,6,0,2,0,0,0,17,52.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Head and neck",17,12,14,54,0,0,3,45,66.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Kidney",23,10,11,26,0,0,1,61,53
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Lung",63,29,90,191,0,0,3,96,79
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Oesophagus",10,22,22,34,0,0,0,41,68.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Other",61,62,63,115,13,1,533,323,26.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Ovary",25,5,30,11,0,0,4,30,67.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Pancreas",1,15,7,53,0,0,0,74,50.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Prostate",262,164,152,118,0,0,1,77,89.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Renal pelvis and ureter",5,2,2,4,0,0,14,13,32.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Skin cancer",165,49,20,9,0,0,5,50,81.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Testes",17,4,0,0,0,0,1,9,67.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Uterus",84,10,14,8,0,0,0,22,84.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Anus",1,4,12,3,0,0,1,6,74.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Bladder",88,45,11,16,0,0,162,26,46
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Bowel",96,144,160,117,0,0,1,87,85.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Breast",286,280,77,28,0,0,2,76,89.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Cervix",24,0,1,4,0,0,0,10,74.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Head and neck",36,13,15,58,0,0,4,25,80.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Kidney",56,11,22,21,0,0,0,40,73.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Lung",76,40,110,263,0,0,1,52,90.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Oesophagus",16,14,33,35,0,0,0,31,76
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Other",62,36,82,120,12,3,449,345,28.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Ovary",27,7,37,14,0,0,7,20,75.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Pancreas",9,11,6,50,0,0,0,48,61.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Prostate",320,153,159,111,0,0,0,39,95
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Renal pelvis and ureter",6,1,7,4,0,0,9,11,47.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Skin cancer",159,53,13,5,0,0,11,20,88.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Testes",21,1,0,2,0,0,0,9,72.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Uterus",87,8,17,8,0,0,0,15,88.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Anus",4,5,4,1,0,0,0,4,77.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Bladder",84,35,6,14,0,0,150,16,45.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Bowel",114,154,188,129,0,0,0,55,91.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Breast",306,315,86,24,0,0,2,67,91.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Cervix",13,4,1,1,0,0,0,10,65.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Head and neck",23,15,19,67,0,0,4,13,87.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Kidney",70,9,27,28,0,0,1,27,82.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Lung",77,30,136,236,0,0,4,56,88.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Oesophagus",16,14,41,36,0,0,0,16,87
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Other",105,70,88,155,48,9,470,253,39.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Ovary",32,4,50,17,0,0,10,18,78.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Pancreas",8,14,13,75,0,0,0,28,79.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Prostate",239,153,160,112,0,0,1,53,92.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Renal pelvis and ureter",5,1,6,6,0,0,24,5,38.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Skin cancer",191,65,16,9,0,0,15,31,85.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Testes",33,1,3,1,0,0,1,1,95
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2015,"Uterus",92,10,16,7,0,0,0,15,89.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Anus",4,7,6,1,0,0,1,2,85.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Bladder",75,48,11,10,0,0,162,17,44.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Bowel",109,139,187,145,0,0,3,50,91.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Breast",444,382,75,42,0,0,3,45,95.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Cervix",20,5,0,1,0,0,1,16,60.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Head and neck",34,14,16,76,0,0,4,12,89.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Kidney",43,14,23,30,0,0,1,16,86.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Lung",67,35,107,254,0,0,3,48,90.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Oesophagus",7,19,38,41,0,0,0,14,88.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Other",66,59,111,161,44,19,519,240,37.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Ovary",33,7,41,18,0,0,8,20,78
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Pancreas",8,24,17,73,0,0,0,37,76.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Prostate",238,139,156,117,0,0,0,60,91.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Renal pelvis and ureter",6,0,8,6,0,0,19,4,46.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Skin cancer",195,70,21,6,0,0,9,21,90.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Testes",26,2,4,0,0,0,0,5,86.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2016,"Uterus",95,9,21,6,0,0,0,4,97
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Anus",5,3,7,1,0,0,0,5,76.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Bladder",66,33,5,25,0,0,139,17,45.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Bowel",95,131,184,117,0,0,0,79,87
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Breast",324,275,84,38,0,0,1,45,94
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Cervix",13,5,0,0,0,0,0,12,60
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Head and neck",31,13,18,62,0,0,2,19,85.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Kidney",55,12,17,33,0,0,1,41,73.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Lung",83,42,112,242,0,0,1,48,90.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Oesophagus",4,11,27,29,0,0,1,31,68.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Other",83,73,76,205,30,7,522,256,37.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Ovary",35,4,29,19,0,0,5,28,72.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Pancreas",13,21,13,86,0,0,0,37,78.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Prostate",191,106,146,112,0,0,1,56,90.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Renal pelvis and ureter",4,5,4,13,0,0,12,6,59.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Skin cancer",183,73,25,5,0,0,16,29,86.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Testes",19,3,3,0,0,0,0,3,89.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2017,"Uterus",82,7,12,14,0,0,0,6,95
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Anus",2,4,8,2,0,0,1,2,84.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Bladder",72,35,16,11,0,0,163,21,42.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Bowel",98,150,172,140,0,0,1,65,89.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Breast",345,303,76,38,0,0,2,95,88.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Cervix",21,4,3,0,0,0,0,15,65.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Head and neck",30,13,23,69,0,0,0,24,84.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Kidney",73,12,17,22,0,0,1,23,83.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Lung",92,34,90,264,0,0,1,40,92.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Oesophagus",8,21,38,46,0,0,0,17,86.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Other",89,57,67,173,15,5,537,282,33.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Ovary",28,7,32,24,0,0,9,25,72.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Pancreas",21,12,20,82,0,0,0,35,79.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Prostate",325,135,233,125,0,0,2,83,90.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Renal pelvis and ureter",2,2,6,11,0,0,17,2,52.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Skin cancer",180,51,25,9,0,0,5,39,85.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Testes",20,0,1,1,0,0,0,2,91.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2018,"Uterus",92,10,13,11,0,0,0,26,82.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Anus",3,12,10,0,0,0,1,0,96.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Bladder",64,35,10,14,0,0,189,14,37.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Bowel",107,157,201,153,0,0,1,52,92.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Breast",421,308,90,43,0,0,1,78,91.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Cervix",21,6,0,1,0,0,0,22,56
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Head and neck",49,25,36,42,0,0,2,15,89.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Kidney",79,5,34,31,0,0,0,25,85.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Lung",90,27,117,213,0,0,0,47,90.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Oesophagus",3,14,39,45,0,0,0,31,76.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Other",106,63,75,172,56,9,583,313,34.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Ovary",23,3,38,26,0,0,8,29,70.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Pancreas",9,15,14,67,0,0,0,43,70.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Prostate",293,108,204,100,0,0,2,96,87.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Renal pelvis and ureter",6,0,2,9,0,0,14,4,48.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Skin cancer",178,59,26,5,0,0,1,30,89.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Testes",28,2,4,0,0,0,1,3,89.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2019,"Uterus",93,8,14,11,0,0,2,13,89.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Anus",0,5,14,3,0,0,0,1,95.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Bladder",64,39,18,14,0,0,163,29,41.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Bowel",96,160,188,139,0,0,0,66,89.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Breast",255,284,86,46,0,0,2,92,87.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Cervix",22,1,5,5,0,0,0,5,86.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Head and neck",45,33,12,47,0,0,0,16,89.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Kidney",73,7,35,34,0,0,0,23,86.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Lung",105,33,93,267,0,0,0,51,90.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Oesophagus",4,13,24,41,0,0,0,31,72.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Other",81,62,85,196,18,3,462,308,36.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Ovary",36,5,23,21,0,0,5,11,84.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Pancreas",16,13,9,76,0,0,0,44,72.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Prostate",197,67,154,121,0,0,2,85,86.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Renal pelvis and ureter",6,2,2,8,0,0,23,4,40
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Skin cancer",163,72,30,9,0,0,4,43,85.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Testes",29,1,4,0,0,0,0,4,89.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2020,"Uterus",70,3,14,15,0,0,0,18,85
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Anus",0,9,12,2,0,0,0,3,88.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Bladder",56,38,17,17,0,0,193,33,36.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Bowel",132,162,223,154,0,0,0,62,91.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Breast",381,340,91,39,0,0,4,86,90.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Cervix",28,3,7,5,0,0,0,11,79.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Head and neck",49,28,19,41,0,0,0,17,89
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Kidney",65,11,39,27,0,0,0,30,82.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Lung",97,32,95,254,0,0,1,80,85.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Oesophagus",3,25,36,58,0,0,0,38,76.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Other",103,66,75,184,18,1,582,307,33.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Ovary",39,4,31,28,0,0,3,17,83.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Pancreas",21,20,17,77,0,0,0,40,77.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Prostate",253,76,210,123,0,0,1,85,88.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Renal pelvis and ureter",3,1,2,11,0,0,22,7,37
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Skin cancer",123,55,37,13,0,0,3,54,80
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Testes",36,2,5,0,0,0,0,0,100
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,"Uterus",99,7,21,11,0,0,0,14,90.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Anus",2,5,9,1,0,0,1,2,85
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Bladder",55,37,8,8,0,0,177,45,32.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Bowel",140,172,200,138,0,0,0,99,86.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Breast",432,290,78,34,0,0,0,164,83.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Cervix",29,5,11,0,0,0,0,13,77.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Head and neck",51,14,22,41,0,0,3,20,84.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Kidney",79,6,42,28,0,0,0,40,79.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Lung",121,25,84,262,0,0,0,101,83
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Oesophagus",10,23,33,56,0,0,1,36,76.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Other",112,57,73,196,20,1,527,324,35
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Ovary",27,0,19,36,0,0,5,21,75.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Pancreas",14,15,25,76,0,0,0,51,71.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Prostate",246,100,228,128,0,0,2,182,79.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Renal pelvis and ureter",6,0,9,6,0,0,18,2,51.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Skin cancer",205,67,26,7,0,0,3,68,81.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Testes",33,2,2,0,0,0,0,1,97.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,"Uterus",87,2,17,9,0,0,2,27,79.9
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Anus",1,2,8,2,0,0,0,5,72.2
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Bladder",57,30,5,18,0,0,152,9,40.6
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Bowel",78,106,143,112,0,0,0,53,89.2
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Breast",327,264,67,35,0,0,4,78,89.4
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Cervix",11,4,3,0,0,0,0,27,40
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Head and neck",30,11,17,58,0,0,1,11,90.6
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Kidney",44,16,9,39,0,0,1,14,87.8
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Lung",74,39,107,211,0,0,3,41,90.7
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Oesophagus",9,14,30,33,0,0,0,24,78.2
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Other",77,49,59,145,3,1,471,233,32.2
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Ovary",25,2,37,15,0,0,5,12,82.3
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Pancreas",10,10,6,61,0,0,0,36,70.7
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Prostate",231,181,97,119,0,0,1,68,90.1
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Renal pelvis and ureter",3,4,8,3,0,0,10,4,56.3
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Skin cancer",135,28,23,8,0,0,7,33,82.9
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Testes",27,2,1,0,0,0,0,5,85.7
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2013,"Uterus",71,8,13,6,0,0,1,12,88.3
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2014,"Anus",2,3,4,0,0,0,0,1,90
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2014,"Bladder",55,24,8,22,0,0,126,21,42.6
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2014,"Bowel",80,135,147,116,0,0,1,73,86.6
"Integrated Care Board","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2014,"Breast",259,247,47,37,0,0,3,79,87.8
