"label","value"
"calculation_Total referrals for exclusively_protocol_not_screened cancers: Suspected head & neck cancer, Suspected lung cancer, Suspected upper gastrointestinal cancer",1875272
"calculation_Total referrals for contains_protocol cancers: Suspected lower gastrointestinal cancer, Suspected head & neck cancer, Suspected lung cancer, Suspected upper gastrointestinal cancer, Suspected gynaecological cancer, Suspected haematological malignancies (excluding acute leukaemia), Suspected urological malignancies (excluding testicular)",5532639
"calculation_Total referrals for does_not_contain_protocol cancers: Suspected skin cancer, Suspected breast cancer, Suspected sarcoma, Suspected brain/central nervous system tumours, Suspected testicular cancer, Suspected acute leukaemia, Suspected other cancer",4133684
