"cancer_group","dep_var","slope_per_month","slope_se","t_statistic","df","p_value","n_clusters"
"primary_high_detection","delayRate",0.146474848082958,0.298482461688146,0.490731841510992,19,0.629235825889739,21
"sec_exp_high_detection","delayRate",0.189504690010001,0.303201678747856,0.625012007824648,19,0.539397692780232,21
"sec_low_detection","delayRate",-0.229756997001667,0.418864548994886,-0.548523377194359,19,0.589720542346664,21
