"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","5.9","1.13 (0.34-1.92, p=.007)","2.01 (0.69-3.34, p=.005)","1.12 (-0.23-2.46, p=.10)","1.10 (-0.56-2.76, p=.18)","0.68 (-1.27-2.63, p=.48)","0.20 (-1.72-2.13, p=.83)"
"   Head & neck","932,920","6.1","0.59 (-0.65-1.84)","1.04 (-0.48-2.56)","0.66 (-1.10-2.42)","0.90 (-0.49-2.30)","0.47 (-1.23-2.16)","-0.52 (-2.28-1.24)"
"   Lung","225,492","4.1","0.61 (-0.25-1.46)","2.30 (1.29-3.31)","1.27 (0.05-2.48)","1.46 (0.08-2.84)","1.12 (-0.57-2.81)","0.58 (-1.22-2.39)"
"   Upper gastrointestinal","716,824","6.1","1.70 (0.03-3.37)","3.13 (0.49-5.76)","1.59 (-1.03-4.21)","1.49 (-2.22-5.19)","0.96 (-2.53-4.44)","1.09 (-2.27-4.45)"
"Secondary expanded high-detection group","5,532,510","8.6","1.47 (-0.09-3.03, p=.06)","2.43 (0.06-4.80, p=.05)","1.23 (-0.93-3.39, p=.25)","1.40 (-0.67-3.47, p=.17)","0.81 (-1.42-3.04, p=.46)","0.21 (-1.81-2.24, p=.83)"
"   Gynaecological cancer","981,770","7.1","0.44 (-1.16-2.03)","0.84 (-1.63-3.31)","0.12 (-2.57-2.81)","0.18 (-2.76-3.11)","-0.72 (-2.95-1.51)","-0.64 (-2.49-1.21)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","8.0","1.03 (-2.06-4.12)","1.49 (-2.31-5.29)","-1.06 (-4.16-2.04)","-0.82 (-4.46-2.82)","0.34 (-4.54-5.23)","-0.60 (-4.00-2.80)"
"   Lower gastrointestinal","1,799,073","11.6","2.17 (-0.76-5.11)","3.77 (-0.20-7.74)","1.81 (-2.40-6.01)","2.67 (-1.86-7.20)","1.29 (-3.10-5.68)","0.55 (-3.16-4.26)"
"   Urological malignancies (excluding testicular)","804,245","10.1","1.62 (-0.38-3.61)","1.25 (-2.35-4.85)","1.08 (-2.61-4.76)","0.77 (-2.06-3.60)","1.86 (-0.81-4.54)","0.75 (-2.62-4.12)"
"Secondary low-detection group","4,114,121","2.9","-0.06 (-1.37-1.24, p=.92)","-0.66 (-2.25-0.92, p=.39)","-0.04 (-1.65-1.56, p=.96)","0.54 (-0.84-1.92, p=.42)","0.11 (-1.67-1.88, p=.90)","-0.65 (-2.27-0.96, p=.41)"
"   Acute leukaemia","1,130","2.1","5.58 (-1.73-12.89)","11.98 (7.78-16.17)","14.65 (6.64-22.65)","19.94 (11.64-28.24)","19.39 (7.28-31.50)","16.83 (11.45-22.21)"
"   Brain/central nervous system tumours","39,991","3.1","2.10 (-0.82-5.02)","1.66 (-3.44-6.75)","2.85 (-2.54-8.24)","0.90 (-3.72-5.52)","-1.10 (-4.25-2.05)","0.79 (-4.76-6.34)"
"   Breast","1,860,514","1.3","-0.36 (-1.01-0.29)","-0.56 (-1.25-0.13)","-0.47 (-1.27-0.33)","-0.34 (-1.01-0.34)","-0.26 (-1.08-0.55)","-0.44 (-1.14-0.27)"
"   Sarcoma","51,156","5.5","-1.51 (-4.48-1.45)","-0.12 (-3.44-3.21)","1.25 (-5.80-8.30)","-0.35 (-3.43-2.74)","2.37 (-1.58-6.33)","3.62 (0.59-6.65)"
"   Skin","2,110,484","4.5","0.18 (-2.47-2.82)","-1.06 (-3.77-1.66)","0.37 (-2.76-3.50)","1.04 (-1.38-3.45)","0.42 (-2.80-3.65)","-1.17 (-3.99-1.65)"
"   Testicular","37,605","3.5","0.84 (-1.45-3.13)","0.93 (-2.10-3.96)","-0.05 (-2.27-2.17)","-0.42 (-2.45-1.62)","-0.19 (-2.05-1.68)","-0.86 (-2.81-1.10)"
"   Other","13,241","4.8","3.32 (-2.60-9.24)","0.30 (-5.85-6.45)","0.08 (-7.94-8.09)","4.34 (-3.54-12.22)","1.36 (-4.75-7.47)","-3.79 (-9.99-2.41)"
