"cancer_group","dep_var","slope_per_month","slope_se","t_statistic","df","p_value","n_clusters"
"primary_high_detection","refRate",0.774436640334268,0.595923886268455,1.29955629935162,19,0.209300563526798,21
"sec_exp_high_detection","refRate",1.79214648104832,1.49698022224394,1.19717445455754,19,0.245962365423383,21
"sec_low_detection","refRate",0.272898925176516,1.08011743314634,0.252656717502996,19,0.803246727709352,21
