"Cancer.Alliance","mced_treated","cancer_grouping","cancer_grouping_label","time_granularity","period_label","min_monthNum","n_months","num_delayed","total_referrals","delay_rate","under_25pct_target","diff_from_25pct_target_pp","delay_rate_minus_did_estimate","adj_rate_under_25pct_target"
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,1745,9649,18.08,"Yes",-6.92,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,3167,13849,22.87,"Yes",-2.13,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2194,8004,27.41,"No",2.41,23.99,"Yes"
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,1619,5562,29.11,"No",4.11,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,3981,14908,26.7,"No",1.7,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,1864,5956,31.3,"No",6.3,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2641,12674,20.84,"Yes",-4.16,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,4731,16055,29.47,"No",4.47,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,7298,23586,30.94,"No",5.94,27.52,"No"
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2469,10891,22.67,"Yes",-2.33,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,4515,13680,33,"No",8,28.25,"No"
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,6043,21599,27.98,"No",2.98,23.23,"Yes"
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,4080,12678,32.18,"No",7.18,27.43,"No"
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,4727,12588,37.55,"No",12.55,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,6090,15584,39.08,"No",14.08,34.33,"No"
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2090,7212,28.98,"No",3.98,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2843,8262,34.41,"No",9.41,29.66,"No"
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2589,8514,30.41,"No",5.41,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2051,8097,25.33,"No",0.33,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,1926,6963,27.66,"No",2.66,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,3772,13797,27.34,"No",2.34,22.59,"Yes"
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2360,11014,21.43,"Yes",-3.57,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,3464,14364,24.12,"Yes",-0.88,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2866,8545,33.54,"No",8.54,28.79,"No"
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,1539,5800,26.53,"No",1.53,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,3833,14725,26.03,"No",1.03,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,1758,6140,28.63,"No",3.63,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,3279,13555,24.19,"Yes",-0.81,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,4902,16405,29.88,"No",4.88,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,7288,23978,30.39,"No",5.39,25.64,"No"
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,2611,11041,23.65,"Yes",-1.35,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,4362,14855,29.36,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,5840,23121,25.26,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,3580,13846,25.86,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,4872,13559,35.93,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,5560,17131,32.46,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,1870,7698,24.29,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,3138,8908,35.23,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,2519,9085,27.73,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,1917,8331,23.01,NA,NA,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,2145,7081,30.29,NA,NA,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,3229,13568,23.8,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,2484,11840,20.98,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,3149,14805,21.27,NA,NA,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,2585,9014,28.68,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,1503,6155,24.42,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,4561,17041,26.76,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,2217,7317,30.3,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,3239,14613,22.17,NA,NA,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,4380,16772,26.11,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,7136,25240,28.27,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2022-Mar 2023",19,6,2603,11773,22.11,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,3972,14981,26.51,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,6191,23925,25.88,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,3780,14135,26.74,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,5009,13848,36.17,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,5747,18886,30.43,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,1749,7759,22.54,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,3268,8723,37.46,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2436,8965,27.17,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,1955,8378,23.33,NA,NA,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2546,7306,34.85,NA,NA,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2733,13312,20.53,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2837,12111,23.42,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,3508,15008,23.37,NA,NA,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2551,9142,27.9,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,1506,5628,26.76,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,4616,17293,26.69,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2140,7290,29.36,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,3502,14719,23.79,NA,NA,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,4636,17906,25.89,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,6974,26152,26.67,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2023-Sep 2023",25,6,2447,11776,20.78,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,3411,15300,22.29,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,5302,23590,22.48,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,3689,15186,24.29,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,4391,14481,30.32,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,5214,19633,26.56,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,1420,7587,18.72,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,3351,9407,35.62,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,2128,8844,24.06,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,1948,8582,22.7,NA,NA,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,2146,7725,27.78,NA,NA,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,2406,13433,17.91,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,2196,11434,19.21,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,3342,15436,21.65,NA,NA,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,3257,9362,34.79,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,1654,6206,26.65,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,4377,18100,24.18,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,1819,7191,25.3,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,3530,14574,24.22,NA,NA,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,4482,19172,23.38,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,5379,25379,21.19,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2023-Mar 2024",31,6,1887,11077,17.04,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,3750,15927,23.54,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,5645,25152,22.44,NA,NA,NA,NA
