"Cancer.Alliance","mced_treated","cancer_grouping","cancer_grouping_label","time_granularity","period_label","min_monthNum","n_months","num_delayed","total_referrals","delay_rate","under_25pct_target","diff_from_25pct_target_pp","delay_rate_minus_did_estimate","adj_rate_under_25pct_target"
"Thames Valley Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2021 - Sep 2022",7,12,1235,3706,33.32,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2021 - Sep 2022",7,12,2501,9358,26.73,NA,NA,NA,NA
"West London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2021 - Sep 2022",7,12,4494,11543,38.93,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2021 - Sep 2022",7,12,6183,22660,27.29,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2021 - Sep 2022",7,12,2008,8093,24.81,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,4713,13810,34.13,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,5233,20487,25.54,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,2759,9437,29.24,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,4346,10836,40.11,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,3796,12491,30.39,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1363,5724,23.81,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,3550,7295,48.66,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,2480,7457,33.26,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1983,5704,34.77,NA,NA,NA,NA
"North East London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1795,4743,37.85,NA,NA,NA,NA
"Northern Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,3034,11425,26.56,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,2408,7771,30.99,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,2369,10181,23.27,NA,NA,NA,NA
"South East London Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1921,5590,34.36,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1434,5383,26.64,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,3685,12176,30.26,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1506,4441,33.91,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,2790,10350,26.96,NA,NA,NA,NA
"West London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,3162,11016,28.7,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,4586,23606,19.43,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2022 - Sep 2023",19,12,1719,7951,21.62,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3425,13738,24.93,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,4619,20649,22.37,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,2577,9740,26.46,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3445,11264,30.58,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3360,13316,25.23,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,855,5397,15.84,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3626,8276,43.81,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,2051,7260,28.25,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,1649,5850,28.19,NA,NA,NA,NA
"North East London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,1658,4654,35.63,NA,NA,NA,NA
"Northern Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,2345,11036,21.25,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,1604,6445,24.89,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,2214,10904,20.3,NA,NA,NA,NA
"South East London Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,2363,5643,41.87,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,1551,5790,26.79,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3789,13390,28.3,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,1214,4401,27.58,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3229,10897,29.63,NA,NA,NA,NA
"West London Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3347,12503,26.77,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,3291,22676,14.51,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"Suspected upper gastrointestinal cancer","Upper gastrointestinal","Yearly","Oct 2023 - Sep 2024",31,12,1117,7302,15.3,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,2313,6341,36.48,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,14000,35132,39.85,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,3388,8027,42.21,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,19024,54472,34.92,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,2314,6669,34.7,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,16362,38654,42.33,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,2482,6347,39.11,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,14319,35683,40.13,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1653,5349,30.9,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,13964,35650,39.17,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,945,2734,34.56,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,8016,19296,41.54,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1387,3781,36.68,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,9257,24023,38.53,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1080,3013,35.84,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,7876,19969,39.44,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1403,3832,36.61,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,8917,21534,41.41,NA,NA,NA,NA
"North East London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1611,3522,45.74,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,10490,19741,53.14,NA,NA,NA,NA
"Northern Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1745,6392,27.3,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,12055,37615,32.05,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1039,3150,32.98,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,7225,22106,32.68,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,2611,6232,41.9,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,14389,38042,37.82,NA,NA,NA,NA
"South East London Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1774,3897,45.52,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,8557,22256,38.45,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,877,2931,29.92,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,8545,18123,47.15,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,2185,5972,36.59,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,15313,42174,36.31,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,822,2548,32.26,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,5175,15219,34,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1304,4488,29.06,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,9712,31749,30.59,NA,NA,NA,NA
"West London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,2751,8423,32.66,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,17794,46451,38.31,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,3625,11090,32.69,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,24518,59006,41.55,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2021-Sep 2021",1,6,1469,4854,30.26,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2021-Sep 2021",1,6,9912,29307,33.82,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,2530,6855,36.91,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,17925,40973,43.75,"No",18.75,40.02,"No"
"East Midlands Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,3870,8612,44.94,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,21995,57999,37.92,"No",12.92,34.19,"No"
"East of England - North Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,3013,7834,38.46,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,18899,43242,43.71,"No",18.71,39.98,"No"
"East of England - South Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,3128,7414,42.19,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,16097,38089,42.26,"No",17.26,NA,NA
"Greater Manchester Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,2061,6075,33.93,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,17577,43384,40.51,"No",15.51,36.78,"No"
"Humber and North Yorkshire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,999,3054,32.71,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,8379,21544,38.89,"No",13.89,NA,NA
"Kent and Medway Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1580,3807,41.5,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,10547,26039,40.5,"No",15.5,36.77,"No"
"Lancashire & South Cumbria Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1420,3742,37.95,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,10074,24140,41.73,"No",16.73,NA,NA
"North Central London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1188,3450,34.43,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,8645,21632,39.96,"No",14.96,NA,NA
"North East London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1101,3695,29.8,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,7046,19836,35.52,"No",10.52,NA,NA
"Northern Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1990,7024,28.33,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,12634,39155,32.27,"No",7.27,28.54,"No"
"Peninsula Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1085,3542,30.63,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,8052,24690,32.61,"No",7.61,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,2856,6478,44.09,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,14934,40109,37.23,"No",12.23,NA,NA
"South East London Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1785,4097,43.57,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,8942,22756,39.3,"No",14.3,35.57,"No"
"South Yorkshire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,896,3244,27.62,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,7750,19526,39.69,"No",14.69,NA,NA
"Surrey and Sussex Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,2358,6424,36.71,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,16190,44410,36.46,"No",11.46,NA,NA
"Thames Valley Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1308,3157,41.43,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,6863,16974,40.43,"No",15.43,NA,NA
"Wessex Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1446,4572,31.63,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,11231,33768,33.26,"No",8.26,NA,NA
"West London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,3236,9745,33.21,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,17693,49011,36.1,"No",11.1,NA,NA
"West Midlands Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,5197,13591,38.24,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,32570,70692,46.07,"No",21.07,42.34,"No"
"West Yorkshire and Harrogate Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Oct 2021-Mar 2022",7,6,1397,5094,27.42,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Oct 2021-Mar 2022",7,6,9534,31092,30.66,"No",5.66,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,2771,7227,38.34,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,19434,42570,45.65,"No",20.65,41.74,"No"
"East Midlands Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,4496,9517,47.24,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,24861,61016,40.75,"No",15.75,36.84,"No"
"East of England - North Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,3772,8707,43.32,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,22077,47144,46.83,"No",21.83,42.92,"No"
"East of England - South Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,3991,8715,45.79,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,18640,40752,45.74,"No",20.74,NA,NA
"Greater Manchester Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,2520,6553,38.46,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,18950,44141,42.93,"No",17.93,39.02,"No"
"Humber and North Yorkshire Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,1363,3300,41.3,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,9270,22415,41.36,"No",16.36,NA,NA
"Kent and Medway Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,1731,4118,42.03,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,11715,28858,40.6,"No",15.6,36.69,"No"
"Lancashire & South Cumbria Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,1773,4080,43.46,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,11013,24362,45.21,"No",20.21,NA,NA
"North Central London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,1844,4090,45.09,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,9822,22794,43.09,"No",18.09,NA,NA
"North East London Cancer Alliance",0,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,968,3478,27.83,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,6350,19334,32.84,"No",7.84,NA,NA
"Northern Cancer Alliance",1,"Suspected gynaecological cancer","Gynaecological cancer","Biannual","Apr 2022-Sep 2022",13,6,2274,8026,28.33,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_exp_high_detection","Secondary expanded high-detection group","Biannual","Apr 2022-Sep 2022",13,6,15492,43027,36.01,"No",11.01,32.1,"No"
